Movie,Years,Duration,Genre,Rating,,Actor_1,Actor_2,Actor_3,Actor_4
Jaaydaad,1989,129 min,"Crime, Drama",4.2,16,Dilip Naik,Shashi Kapoor,Raj Babbar,Madhavi
Jab Hum Na Honge,1989,,Comedy,,,Birbal,Jankidas,Mushtaq Merchant,Paintal
Jaisi Karni Waisi Bharni,1989,168 min,"Comedy, Drama",5.6,223,Vimal Kumar,Govinda,Kimi Katkar,Kader Khan
Jawani Ka Khoon,1989,,Thriller,,,Kapil Dev,Jagathi Sreekumar,,
Jawani Ke Gunah,1989,120 min,Drama,4.6,8,S.R. Pratap,Rakesh Bedi,Sahila Chaddha,Tina Ghai
Jawani Ki Qurbani,1989,77 min,Thriller,,,Kapil Dev,Kapil Karzan,,
Jawani Solah Saal Ki,1989,,Thriller,,,Jayalalitha,Uma Maheshwari,,
Jism Ka Rishta,1989,,Drama,2.9,11,Mahesh Bhatt,Kingi,Haidar Ali,Mohan Choti
Joshilaay,1989,107 min,"Action, Drama, Western",5.7,265,Sibte Hassan Rizvi,Sunny Deol,Anil Kapoor,Sridevi
Jung Baaz,1989,143 min,"Action, Crime",5.6,75,Mehul Kumar,Govinda,Danny Denzongpa,Prem Chopra
Jungle Ke Jalwe,1989,,Thriller,,,,,,
Junglee Jawaani,1989,,Thriller,,,P Chandra Mohan,,,
Jurrat,1989,146 min,"Action, Crime",4.6,23,David Dhawan,Shatrughan Sinha,Kumar Gaurav,Amala Akkineni
Kaanoon Ki Awaaz,1989,127 min,"Action, Crime",3.8,10,P. Chandrasekhar,R. Kumar,Balwant Dullat,Shatrughan Sinha
Kahan Hai Kanoon,1989,131 min,Action,6.9,7,Deepak Balraj Vij,Sadashiv Amrapurkar,Anand Balraj,Sudhir Dalvi
Kala Bazaar,1989,160 min,"Action, Drama",5.5,203,Rakesh Roshan,Anil Kapoor,Jackie Shroff,Farha Naaz
Kameena Kahin Kaa,1989,,Thriller,,,P. Chandrasekhar,Sadashiv Amrapurkar,Anuradha,Kapil Karzan
Kamla Ki Maut,1989,95 min,Drama,7.2,212,Basu Chatterjee,Pankaj Kapur,Supriya Pathak,Roopa Ganguly
Kanoon Apna Apna,1989,162 min,"Action, Crime, Drama",5.6,146,Gopal B.,Dilip Kumar,Nutan,Sanjay Dutt
Kanoon Ka Harz,1989,,"Comedy, Drama, Family",,,Prem Chopra,,,
Karm Kasauti,1989,,Drama,,,Sharad Chaudhary,Sulabha Deshpande,Nana Patekar,Rameshwari
Kasam Suhag Ki,1989,,"Action, Crime, Drama",4.9,21,Mohan Segal,Dharmendra,Rekha,Suresh Oberoi
Kasam Vardi Kee,1989,,"Action, Crime",4.3,13,Shibu Mitra,Jeetendra,Bhanupriya,Chunky Panday
Katha Madhopur Ki,1989,,,,,Prakash Jha,Sudhir Mishra,Sanjay Mukherjee,Lallan Prasad Thakur
Kathni Karni Ek Si,1989,,Documentary,,,Bhimsain,Himaanshu Khurana,,
Khayal Gatha,1989,103 min,"Drama, Music",6.6,34,Kumar Shahani,Mangal Dhillon,Rajat Kapoor,Mita Vashisht
Khel Jawani Ka,1989,,Thriller,,,,,,
Khel Jeewan Ki,1989,,Drama,,,Asha Khan,Mala Aravindan,Kalaichelvi,T.G. Ravi
Khoj,1989,113 min,"Mystery, Thriller",7.1,272,Keshu Ramsay,Rishi Kapoor,Naseeruddin Shah,Kimi Katkar
Khol De Meri Zuban,1989,,"Comedy, Drama",5.1,18,Dada Kondke,Dinesh Hingoo,Viju Khote,Dada Kondke
Khooni Murdaa,1989,127 min,Horror,4.1,39,Mohan Bhakri,Deepak Parashar,Javed Khan,Sripradha
Khuli Khidki,1989,,Crime,3.5,13,P. Chandrakumar,Abhilasha,Arjun,Gajendra Chauhan
Kissa Pehli Raat Ka,1989,,Thriller,,,,,,
Kodiparakkudu,1989,143 min,,5.8,102,Bharathiraja,A.R.S.,Amala Akkineni,Bhagya
Ladaai,1989,,"Action, Crime, Drama",6.2,48,Deepak S. Shivdasani,Rekha,Mithun Chakraborty,Dimple Kapadia
Ladki,1989,,,,,Satish Shah,Vyjayanthimala,,
Lahu Ki Awaz,1989,,Action,,,Akash Jain,Hemant Birje,Chandrashekhar,Prem Chopra
Lashkar,1989,176 min,"Action, Crime, Drama",5.8,43,Jagdish Kadar,Kader Kashmiri,Dev Anand,Javed Jaffrey
Love Love Love,1989,146 min,"Drama, Romance",5.5,867,Babbar Subhash,Aamir Khan,Juhi Chawla,Gulshan Grover
Maa Khodal Taro Khamkaro,1989,,,,,Dinesh Rawal,Nalin Dave,Arvind Rathod,Sarla Yeolekar
Maa Vaibhav Laxmi,1989,,Drama,,,Subhash Shah,Adi Irani,Meera Madhuri,
Machalti Jawani,1989,107 min,"Action, Crime, Drama",,,Asha Khan,Anuradha,Ragu,T.G. Ravi
Mahaadev,1989,131 min,"Action, Drama",5.7,36,Raj N. Sippy,Vinod Khanna,Meenakshi Sheshadri,Raj Babbar
Mahal,1989,,Horror,4.5,13,Keshu Ramsay,Sadashiv Amrapurkar,Rakesh Bedi,Kamal Kapoor
Main Azaad Hoon,1989,160 min,Drama,7.2,699,Tinnu Anand,Amitabh Bachchan,Shabana Azmi,B.M. Shah
Main Tera Dushman,1989,,"Action, Adventure, Crime",5.1,68,Vijay Reddy,Jackie Shroff,Jaya Prada,Sunny Deol
Majboor,1989,,Drama,5.2,40,Rama Rao Tatineni,Jeetendra,Jaya Prada,Sunny Deol
Mamata Ki Chhaon Mein,1989,,"Drama, Family",5.5,17,Amit Kumar,Kishore Kumar,Ashok Kumar,Amit Kumar
MANADA NO MOR,1989,,Drama,,,Mehul Kumar,,,
Manu the Great,1989,,"Crime, Drama, Fantasy",,,Manu Narang,Raj Kiran,Kapil Mohan,Manu Narang
Matlabi,1989,,Drama,,,,,,
Maut Ki Ladai,1989,,"Action, Thriller",4.4,10,Narayana Rao Dasari,Krishna,Jaya Prada,Sridevi
Maut Ki Lalkar,1989,,Action,,,Kodanda Rami Reddy A.,Chiranjeevi,Suresh Oberoi,Radha
Mera Challenge,1989,,,,,Anil Nagrath,Tina Ghai,,
Mera Farz,1989,,Action,5.4,21,K. Raghavendra Rao,Nagarjuna Akkineni,Amrish Puri,Sridevi
Mera Naseeb,1989,150 min,Drama,4.1,7,S. Karnam,Rohan Kapoor,Anuradha Patel,Sahil Vaid
Meri Zabaan,1989,149 min,"Action, Crime, Drama",5.7,16,Shibu Mitra,Shashi Kapoor,Mithun Chakraborty,Vinod Mehra
Mil Gayee Manzil Mujhe,1989,,"Action, Thriller",4.8,13,Moeen Amjad,Jalal Agha,Urmila Bhatt,Mithun Chakraborty
Milan Ki Pyas,1989,,Thriller,,,,,,
Mirza Ki Shaadi,1989,,Romance,,,Devinder Kanwar,Raj Babbar,Sudha Chopra,Satish Kaul
Miss Pamela,1989,102 min,Drama,4.5,6,Kottayam Chellappan,Kollam Ajith,Lalu Alex,Suresh Gopi
Mitti Aur Sona,1989,163 min,"Action, Drama",4.7,35,Shiv Kumar,Chunky Panday,Neelam Kothari,Sonam
Mohabat Ka Paigham,1989,,"Family, Drama",4.6,9,Padmini Kapila,Padmini,Shammi Kapoor,Raj Babbar
Muhabbat Ki Hai Humne,1989,,Romance,,,Padma Khanna,Arvind Kumar,Shreeram Lagoo,Sanjiv Luthra
Mujrim,1989,,"Action, Crime",5.3,151,Umesh Mehra,Mithun Chakraborty,Madhuri Dixit,Suresh Oberoi
Naag Nagin,1989,,"Action, Fantasy",,,Ramkumar Bohra,Rajni Bala,Firoz Irani,Puneet Issar
Nache Nagin Gali Gali,1989,131 min,Horror,4.8,27,Mohanji Prasad,Meenakshi Sheshadri,Nitish Bharadwaj,Sadashiv Amrapurkar
Nafrat Ki Aandhi,1989,,"Action, Adventure, Drama",4.9,24,Mehul Kumar,Dharmendra,Jeetendra,Anita Raj
Na-Insaafi,1989,,"Action, Crime",4.1,18,Mehul Kumar,Shatrughan Sinha,Sonam,Chunky Panday
Naqab,1989,,"Drama, Mystery",4.4,28,Raj Khosla,Rishi Kapoor,Farha Naaz,A.K. Agnihotri
Narad Vivaah,1989,,Fantasy,,,Dilip Naik,Asrani,Manju Asrani,Beena Banerjee
Nigahen: Nagina Part II,1989,140 min,"Drama, Family, Fantasy",5.2,295,Harmesh Malhotra,Sunny Deol,Sridevi,Anupam Kher
Nishane Bazi,1989,139 min,"Action, Adventure, Crime",2.9,10,V. Menon,Sumeet Saigal,Sripradha,Sneha
Nyaay Dansh,1989,,Drama,,,,,,
Oonch Neech Beech,1989,126 min,"Drama, Family",6.4,11,Wasi Khan,Prayag Raj,Sanjeev Kumar,Shabana Azmi
Paanch Papi,1989,,Action,3.6,14,Shibu Mitra,Hemant Birje,Prem Chopra,Bob Christo
Paap Ka Ant,1989,,"Action, Drama, Romance",3.9,68,Vijay Reddy,Rajesh Khanna,Hema Malini,Govinda
Paap Ki Sazaa,1989,,Action,,,K. Tyagrajan,Bilal Abbasi,Bharat Barot,Hemant Birje
Paraya Ghar,1989,125 min,"Drama, Family",6.2,28,Kalpataru,Rishi Kapoor,Jaya Prada,Raj Babbar
Parchhaeen,1989,,Thriller,,,Om Narayan Tomar,Bindu,Brahmachari,Manek Chaudhary
Parinati,1989,125 min,Drama,7.2,53,Prakash Jha,Basant Josalkar,Surekha Sikri,Sudhir Kulkarni
Parinda,1989,154 min,"Action, Crime, Drama",7.8,"3,168",Vidhu Vinod Chopra,Jackie Shroff,Anil Kapoor,Nana Patekar
Pehli Raat,1989,,Thriller,,,Kommineni,,,
PICK POCKET,1989,,Drama,,,G.M. Kumar,,,
Police Ke Peechhe Police,1989,,Crime,4.6,8,B.R. Ishara,Shafi Inamdar,Rajesh Khanna,Kulbhushan Kharbanda
Prem Paigham,1989,,Romance,,,Navin Kumar,Birbal,Deepika Chikhalia,Tina Ghai
Prem Pratigyaa,1989,156 min,"Drama, Romance",5.9,230,Bapu,Mithun Chakraborty,Madhuri Dixit,Vinod Mehra
Purani Haveli,1989,139 min,Horror,5.2,250,Shyam Ramsay,Tulsi Ramsay,Deepak Parashar,Amita Nangia
Pyaar Ka Pahela Sawan,1989,,"Drama, Romance",,,Sudhir Dalvi,Sonika Gill,Vicky Khan,Chaman Puri
Pyar Ke Jalwe,1989,,Romance,,,,,,
Pyari Dulhaniya,1989,,Drama,,,Raj N. Sippy,Arun Govil,Meera Madhuri,
Pyase Nain,1989,,Drama,,,Kidar Nath Sharma,Kanan Kaushal,Yuvraj,Gajanan Jagirdar
Qafir Jawaani,1989,,Thriller,,,Chandrika,,,
Qatil Dilruba,1989,69 min,Drama,,,Mohan Gandhi,Baskaran,Salim Bava,Pratap Chandra
Raakh,1989,153 min,"Action, Crime, Drama",7.5,"1,095",Aditya Bhattacharya,Aamir Khan,Supriya Pathak,Pankaj Kapur
Rakhwala,1989,,Drama,4.9,82,K. Muralimohana Rao,Anil Kapoor,Farha Naaz,Shabana Azmi
Ram Lakhan,1989,174 min,"Action, Comedy, Drama",6.8,"2,406",Subhash Ghai,Rakhee Gulzar,Jackie Shroff,Anil Kapoor
Rudra,1989,,,,,K.S.R. Das,T.N. Balakrishna,Vishnuvardhan,K.S. Ashwath
Rudranetra,1989,126 min,"Action, Crime, Thriller",6.5,71,K. Raghavendra Rao,Chiranjeevi,Brahmanandam,Nuthan Prasad
Saat Ladkiyan,1989,,Drama,,,Kishan Shetty,Sona Mastan Mirza,Rajan Sippy,Tariq
Saaya,1989,180 min,Horror,5.1,15,Keshu Ramsay,Shatrughan Sinha,Poonam Dhillon,Danny Denzongpa
Sach,1989,,Drama,5.9,10,Vinod Pande,Anuradha Sawant,Vinod Pande,Hashmat Khan
Sachai Ki Taqat,1989,135 min,"Action, Drama",4.5,39,Rama Rao Tatineni,Bob Christo,Dharmendra,Govinda
Sachche Ka Bol-Bala,1989,,"Action, Adventure",5.7,42,Dev Anand,Dev Anand,Jackie Shroff,Meenakshi Sheshadri
Salim Langde Pe Mat Ro,1989,111 min,"Crime, Drama",7.6,456,Saeed Akhtar Mirza,Pawan Malhotra,Makrand Deshpande,Ashutosh Gowariker
Sange Meel Se Mulaqat,1989,90 min,Documentary,8.1,22,Goutam Ghose,Bismillah Khan,Ain Rasheed Khan,
Santosh,1989,146 min,"Drama, Family",6.7,37,Balbir Wadhawan,Manoj Kumar,Nirupa Roy,Rakhee Gulzar
Sati Toral,1989,,Drama,,,Vinod Parmar,Chandrakant Pandya,Meghna Rai,Sheela Sharma
Sau Saal Baad,1989,,Horror,3.4,17,Mohan Bhakri,Hemant Birje,Sahila Chaddha,Suraj Chaddha
Sava Ser Gehu,1989,,Drama,,,Om Puri,,,
Shaadi Se Pehle Aur Shaadi Ke Baad,1989,87 min,Drama,,,Kommineni,Kommineni,,
Shagun,1989,,Drama,,,Meraj,Tom Alter,Sadashiv Amrapurkar,Raj Kiran
Shanakht,1989,,Drama,4.4,13,Tinnu Anand,Amitabh Bachchan,Madhuri Dixit,Madhavi
Shehzaade,1989,,Action,4.7,34,Raj N. Sippy,Dharmendra,Shatrughan Sinha,Sameer Khakhar
Shiva,1989,161 min,"Action, Crime, Drama",8.1,"3,399",Ram Gopal Varma,Nagarjuna Akkineni,Amala Akkineni,Raghuvaran
Sikka,1989,180 min,"Action, Drama",4.5,35,K. Bapaiah,Mahesh Anand,Asrani,Brahmachari
Socha Na Tha,1989,,Romance,,,Hussain Sharif,Rakesh Bedi,Ike Choudhri,Anita Guha
Sonthakkaran,1989,,"Action, Comedy, Drama",,,Raja,Arjun Sarja,Madhuri,Nirosha
Souten Ki Beti,1989,136 min,"Drama, Family",5.3,55,Saawan Kumar Tak,Jeetendra,Rekha,Jaya Prada
State Rowdy,1989,147 min,"Action, Crime, Drama",6.3,104,Gopal B.,Chiranjeevi,Bhanupriya,Jayamalini
Suryaa: An Awakening,1989,,"Action, Drama",6.5,43,Esmayeel Shroff,Raaj Kumar,Vinod Khanna,Raj Babbar
Taaqatwar,1989,,Action,5.5,98,David Dhawan,Sanjay Dutt,Govinda,Anita Raj
Tere Bina Kya Jeena,1989,127 min,Family,5.1,13,P.P. Ghosh,Partho Ghosh,Shekhar Suman,Moon Moon Sen
The Announcement of War,1989,149 min,Action,5.7,81,Anil Sharma,Dharmendra,Jaya Prada,Dara Singh
Toofan,1989,174 min,"Action, Crime",4.9,719,Ketan Desai,Amitabh Bachchan,Meenakshi Sheshadri,Amrita Singh
Touhean,1989,135 min,"Drama, Family",6.3,9,Madan Joshi,Raj Babbar,Dimple Kapadia,Padmini Kolhapure
Tridev,1989,173 min,"Action, Crime, Drama",6.3,"1,873",Rajiv Rai,Sunny Deol,Naseeruddin Shah,Jackie Shroff
Tu Nagin Main Sapera,1989,,Action,4.3,9,V. Menon,Sonika Gill,Goga Kapoor,Anupam Kher
Tujhe Nahin Chhodunga,1989,,Action,4.7,6,Iqbal Khan,Shekhar Suman,Zeenat Aman,Akbar Khan
Umang,1989,,"Romance, Thriller",,,,,,
Ustaad,1989,153 min,Drama,5.2,13,Kawal Sharma,Vinod Khanna,Asha Parekh,Jaya Prada
Utthaan,1989,,Drama,,,,,,
Vardi,1989,161 min,"Action, Crime, Drama",4.5,158,Umesh Mehra,Sunny Deol,Jackie Shroff,Kimi Katkar
VETRI MEL VETRI,1989,135 min,Drama,,,Thiyagarajan,,,
Vetri Vizha,1989,142 min,"Action, Drama, Mystery",6.7,299,Prathap Pothen,Kamal Haasan,Prabhu,Amala Akkineni
Vicky Dada,1989,122 min,"Action, Crime",6.9,57,Kodanda Rami Reddy A.,Nagarjuna Akkineni,Juhi Chawla,Radha
Waqt Ke Zanjeer,1989,,Drama,,,Dinesh Thakkar,Ramesh Deo,Gulshan Grover,Rohini Hattangadi
When Love Calls,1989,192 min,"Drama, Musical, Romance",7.3,"11,486",Sooraj R. Barjatya,Salman Khan,Bhagyashree,Alok Nath
Wohi Bhayanak Raat,1989,82 min,Horror,3.3,17,Vinod Talwar,Rakesh Bedi,Leena Das,Dhanraj
Yari Dosti,1989,,Action,,,Anup Malik,Shoma Anand,Shehzad Askari,Birbal
Zakhm,1989,,"Action, Drama",4.4,7,Irfan Khan,Chunky Panday,Neelam Kothari,Madhavi
Zulm Ki Zanjeer,1989,125 min,"Action, Crime, Drama",5.8,44,S.P. Muthuraman,Chiranjeevi,Jayamalini,Rajinikanth
7 Bijliyaan,1988,126 min,Action,5,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
Aag Ke Sholay,1988,138 min,"Action, Thriller",3.4,7,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi
Aage Ki Soch,1988,,Comedy,4.8,30,Dada Kondke,Shakti Kapoor,Huma Khan,Dada Kondke
Aaj Ke Angaarey,1988,128 min,"Action, Drama",5,26,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh
Aaj Ki Jung,1988,,Action,,,Kodanda Rami Reddy A.,,,
Aakhri Adaalat,1988,148 min,"Action, Thriller",5.2,78,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff
Aakhri Nishchay,1988,,Drama,,,K.C. Agarwal,Ratan Aulakh,Anil Chadha,Sudhir Dalvi
Aakrant,1988,,Drama,,,Vinod Kumar,Sadashiv Amrapurkar,C.S. Dubey,Kislaya
Aap Ka Pyar,1988,,Romance,,,Baby Bulbul,Devesh,Jiteshwari,Ritu Khanna
Aaryan Mera Naam,1988,,Action,,,Ramya Krishnan,Mohanlal,Balan K. Nair,Gavin Packard
Abhishapt,1988,,,,,Prakash Jha,Deepti Naval,Pyare Mohan Sahay,Vasant Joglekar
Achanak,1988,,Thriller,,,Rakesh Kashyap,Om Puri,Kunickaa Sadanand,Kanwaljit Singh
Achanak,1988,,Drama,,,Kavi Raz,Alka,Amarjeet Kaur,Kavi Raz
Agent 777,1988,,Action,,,Satish Khurana,Raja Duggal,Pallavi Joshi,Vicky Kaushik
Agnee,1988,153 min,"Action, Drama, Romance",5.1,29,J. Om Prakash,Mithun Chakraborty,Chunky Panday,Amrita Singh
Akarshan,1988,,Romance,4.8,26,Tanvir Ahmed,Akbar Khan,Sonu Walia,Girish Karnad
Anjaam khuda jaane,1988,,Action,,,Danny Denzongpa,Gulshan Grover,Imtiaz Khan,Dev Kumar
Anokha Chamatkar,1988,,Drama,,,Krishan Malik,Birbal,Chandrashekhar,Sudhir Dalvi
Aryan,1988,181 min,"Action, Drama",7,283,Priyadarshan,Mohanlal,Ramya Krishnan,Bob Christo
Aurat Teri Yehi Kahani,1988,149 min,Drama,4.2,16,Mohanji Prasad,Shoma Anand,Vikas Anand,Raj Babbar
Bahar,1988,,Romance,,,Suraj Prakash,Shail Chaturvedi,Deep Dhillon,Baby Guddu
Banda Nawaz,1988,,Drama,,,Satish Kaul,Ritu Khanna,Rakesh Pandey,J.V. Samarajulu
Bandhan Baahon Ka,1988,,"Drama, Romance",,,Govind Moonis,Brahmachari,Rita Katyal,Raj Kiran
Barah Saal Baad,1988,,Horror,,,Bhanupriya,Nuthan Prasad,,
Be Lagaam,1988,,"Action, Drama",,,Naval Kishore,Biswajit Chatterjee,Rakesh Roshan,Jayshree T.
Bedroom Story,1988,,Drama,,,D. Raman,Roma Sen Gupta,Shavinder Mahal,Sanjay Shukla
Bhatakti Jawani,1988,,Drama,,,Inderjit Doshi,Madhu Kapoor,Mukri,Lalita Pawar
Bhayaanak Mahal,1988,113 min,Horror,3.4,8,Baby,Babu Antony,Ravi,Jaya Rekha
Bhed Bhav,1988,123 min,"Drama, Romance",,,Navin Kumar,Sudhir Dalvi,Kader Khan,Anand Kumar
Bijili Aur Toofan,1988,,Action,,,Sadashiv Amrapurkar,Hemant Birje,Sonika Gill,Satish Kaul
Biwi Ho To Aisi,1988,149 min,"Comedy, Drama",5.8,857,J.K. Bihari,Rekha,Farooq Shaikh,Bindu
Charanon Ki Saugandh,1988,,"Action, Drama, Family",5.6,47,K. Bapaiah,Asrani,Mithun Chakraborty,Prem Chopra
Chatran,1988,,Adventure,6.2,10,Gulzar,,,
Chintamani Surdas,1988,132 min,"Biography, History",,,Ram Pahwa,Raja Bundela,Alka Noopur,Gouri Khurana
Commando,1988,149 min,"Action, Drama, Romance",4.2,171,Babbar Subhash,Mithun Chakraborty,Mandakini,Hemant Birje
Daisy,1988,,Drama,7.1,76,Prathap Pothen,Harish,Sohniya,Sonia
Dariya Dil,1988,146 min,Drama,5.1,191,K. Ravi Shankar,Govinda,Kimi Katkar,Roshni
Dayavan,1988,173 min,"Action, Crime, Drama",6.5,548,Feroz Khan,Vinod Khanna,Feroz Khan,Amala Akkineni
Dharam Shatru,1988,,"Action, Crime, Thriller",4.3,7,Harmesh Malhotra,Shatrughan Sinha,Reena Roy,Mahesh Anand
Dharamyudh,1988,,"Drama, Mystery, Thriller",5.8,24,Sudarshan Nag,Sunil Dutt,Shatrughan Sinha,Kimi Katkar
Do Waqt Ki Roti,1988,110 min,Action,6.4,24,Satpal,Feroz Khan,Sanjeev Kumar,Reena Roy
Dukh-Dard,1988,,Drama,,,Syed-Hasan,Arjun Chakraborty,Janeshwari,Praveen Kumar
Ek Aadmi,1988,,Drama,,,Khwaja Ahmad Abbas,Tun Tun,Akashdeep,Tinnu Anand
Ek Hi Maqsad,1988,,"Action, Drama, Thriller",4.9,16,Pravin Bhatt,Raj Kiran,Om Puri,Divya Rana
Ek Naya Rishta,1988,,Family,6.7,20,Vinod Pande,Rekha,Raj Kiran,Mazhar Khan
Faisla,1988,,"Action, Crime, Mystery",5.8,11,S. Ramanathan,Ashok Kumar,Vinod Khanna,Saira Banu
Falak (The Sky),1988,166 min,"Action, Crime, Drama",6,45,Shashilal K. Nair,Rakhee Gulzar,Jackie Shroff,Shekhar Kapur
Farari,1988,,Drama,,,Ashok Bhimjeemani,Bindu,Mala Jaggi,Praveen Paul
Farishta Aur Bhagwan,1988,,Drama,,,Bhanupriya,Nassar,,
Ganga Tere Desh Mein,1988,,Action,4.8,25,Vijay Reddy,Dharmendra,Jaya Prada,Shatrughan Sinha
Gangaa Jamunaa Saraswathi,1988,187 min,"Action, Drama, Romance",4.6,581,Manmohan Desai,Amitabh Bachchan,Mithun Chakraborty,Jaya Prada
Geeta Ki Saugandh,1988,,Action,,,Reetu Raaj,Rajni Bala,Hemant Birje,Jamuna
Ghar Aakir Ghar Hai,1988,120 min,,,,Pawan Kuman,Sudhir Dalvi,Javed Khan,Neelam Mehra
Ghar Ek Mandir,1988,155 min,Drama,,,Chandrakant Sangani,,,
Ghar Ghar Ki Kahani,1988,155 min,"Comedy, Drama",4.9,207,Kalpataru,Govinda,Farha Naaz,Rishi Kapoor
Ghar Mein Ram Gali Mein Shyam,1988,136 min,"Drama, Family, Action",4.7,43,Subhash Sonik,Beena Banerjee,Rita Bhaduri,Govinda
Gharwali Baharwali,1988,,Family,4.3,9,Sripathi Panditharadhyula Rajaram,Farooq Shaikh,Anuradha Patel,Kim
Ghayal Sherni,1988,,"Action, Crime, Thriller",5.4,11,K. Bapaiah,Aruna,Jayanthi,Satyanarayana Kaikala
Gumrah Jawani,1988,,Thriller,,,P. Chandrakumar,Silk Smitha,,
Gunahon Ka Faisla,1988,169 min,Action,4.9,14,Shibu Mitra,Shatrughan Sinha,Dimple Kapadia,Chunky Panday
Gunahon Ke Shatranj,1988,,,,,Chandrakant Sangani,Mohan Choti,Dinesh Hingoo,Satyendra Kapoor
Guru Sishyan,1988,139 min,"Action, Comedy",7.1,382,S.P. Muthuraman,Rajinikanth,Prabhu,Gautami
Halaal Ki Kamai,1988,,Family,4.1,18,Swaroop Kumar,Govinda,Farha Naaz,Sonika Gill
Halla Gulla,1988,,,,,Bhaskar Jadhav,Madhu Apte,Chaitanya Berde,Ravindra Berde
Hamara Khandaan,1988,,"Drama, Romance",5.6,39,Anwar Pasha,Rishi Kapoor,Farha Naaz,Kiran Juneja
Hatya,1988,151 min,"Action, Crime, Drama",6.9,390,Kirti Kumar,Govinda,Neelam Kothari,Raj Kiran
Hero Hiralal,1988,146 min,"Action, Comedy, Drama",6.2,263,Ketan Mehta,V. Menon,Naseeruddin Shah,Sanjana Kapoor
Hitler,1988,138 min,"Action, Crime, Drama",5.4,53,T.L.V. Prasad,Mithun Chakraborty,Shilpa Shirodkar,Manek Bedi
Hum Farishte Nahin,1988,,"Action, Thriller",4.7,15,Jatin Kumar,Raj Babbar,Om Puri,Deepak Seth
Hum To Chale Pardes,1988,137 min,Drama,5.8,19,Ravindra Peepat,Shashi Kapoor,Mandakini,Rajiv Kapoor
Idd Mubarak,1988,,Drama,,,Dev Dutt,Jankidas,Leela Mishra,Kanchan Rawal
Insaaf Ki Manzil,1988,132 min,Drama,,,Braj Bhushan,Leena Dar,Leena Das,Poonam Dasgupta
Insaf Ki Jung,1988,,"Action, Crime",,,M.G. Hashmat,Shafi Inamdar,Soni Razdan,Priya Tendulkar
Insaniyat,1988,,,,,Kimi Katkar,,,
Inspector Pratap,1988,,Action,6.6,8,Nandamuri Balakrishna,Mutyala Subbaiah,Vijayshanti,
Inteqam,1988,,Drama,5.2,73,Rajkumar Kohli,Sunny Deol,Anil Kapoor,Kimi Katkar
J.P.,1988,,Documentary,,,Atma Ram,,,
Jaan E Jaana,1988,,Romance,,,,,,
Jadoo Mantar,1988,,"Fantasy, Horror",,,Kommineni,Komi Neni,Anuradha,Shiv Krishna
Jai Karoli Maa,1988,137 min,Drama,,,Bharat Bhushan,Sudhir Dalvi,Arun Govil,Alka Kapoor
Janam Janam,1988,,"Mystery, Romance, Thriller",5.7,43,Vijay Sadanah,Rishi Kapoor,Danny Denzongpa,Amrish Puri
Jawani Ka Dushman,1988,112 min,Action,,,Bhanuchander,Silk Smitha,,
Jawani Ka Rog,1988,,Thriller,,,,,,
Jawani Ki Lahren,1988,,"Drama, Romance",,,Sanil Khosla,Neeraj Asrani,Hema Gupta,Sanil Khosla
Jeete Hain Shaan Se,1988,,"Action, Drama",4.7,131,Kawal Sharma,Mithun Chakraborty,Sanjay Dutt,Govinda
Jeewan Saathi,1988,,Drama,,,,,,
Jungle Ki Beti,1988,,Adventure,3.3,11,R. Thakur,Salma Agha,Arjun,Brando Bakshi
Jyoti Devi Maa,1988,,Drama,,,Silk Smitha,,,
Kaal Chakra,1988,,"Action, Drama",5.8,13,Dilip Shankar,Ishrat Ali,Sadashiv Amrapurkar,Madan Jain
Kab Tak Chup Rahungi,1988,,Drama,5.8,9,T. Prakash Rao,Amala Akkineni,Vikas Anand,Darshan
Kabrastan,1988,135 min,Horror,3.7,27,Mohan Bhakri,Hemant Birje,Kamna,Javed Khan
Kabzaa,1988,143 min,"Action, Crime, Drama",5.9,185,Mahesh Bhatt,Raj Babbar,Sanjay Dutt,Amrita Singh
Kanoon Ki Hathkadee,1988,,Action,4,9,K. Bapaiah,Sridevi,Krishna,Gummadi
Kanwarlal,1988,150 min,"Action, Drama",4.6,18,S.S. Ravichandra,Salma Agha,Arjun,Raj Babbar
Kartoot,1988,,Romance,,,Dayanand,Tom Alter,Vijay Arora,Vijayendra Ghatge
Kasam,1988,157 min,"Action, Drama, Romance",5.1,53,Umesh Mehra,Master Bunty,Sudhir Dalvi,Ketki Dave
Kehkashaa,1988,,Drama,,,Jayabrato Chatterjee,Victor Banerjee,Kitu Gidwani,Girish Karnad
Kharidar,1988,,Drama,,,Kartik Mehta,Asrani,Ravi Behl,Birbal
Khatron Ke Khiladi,1988,156 min,"Action, Drama",4.8,181,Rama Rao Tatineni,Dharmendra,Sanjay Dutt,Chunky Panday
Khoon Bahaa Ganga Mein,1988,,Action,,,Pravin Bhatt,Avtar Gill,Annu Kapoor,Bharat Kapoor
Khoon Bhari Maang,1988,172 min,"Drama, Thriller, Action",6.6,"1,024",Rakesh Roshan,Rekha,Kabir Bedi,Sonu Walia
