Movie,Years,Duration,Genre,Rating,Unnamed: 5,Actor_1,Actor_2,Actor_3,Actor_4
Khokababu,2012,158 min,"Comedy, Romance",5.1,221,Shankaraiya,Ferdous Ahmed,Biswajit Chakraborty,Biplab Chatterjee
Kismet Love Paisa Dilli,2012,129 min,"Adventure, Comedy, Crime",4.2,557,Sanjay M. Khanduri,Vivek Oberoi,Mallika Sherawat,Neha Dhupia
Ko: Yad,2012,90 min,Drama,7.9,13,Manju Borah,,,
Krishna Aur Kans,2012,117 min,"Animation, Action, Adventure",6.5,188,Vikram Veturi,Manoj Bajpayee,Harish Bhimani,Neetu Chaudhary
Kyaa Super Kool Hain Hum,2012,136 min,Comedy,4.9,"3,748",Sachin Yardi,Anupam Kher,Neha Sharma,Riteish Deshmukh
Lala Hardaul,2012,147 min,History,7.4,8,Devendra Bhagat,Sachendra Choubey,Divyanka Tripathi Dahiya,Prince Khan
Le Gaya Saddam,2012,113 min,Comedy,6.2,18,Amjad Khan,Shahbaz Baweja,Umesh Gautam,Nandini Jumani
Le Halua Le,2012,125 min,"Comedy, Drama, Romance",5.3,199,Raja Chanda,Laboni Sarkar,Payel Sarkar,Subhasish Mukherjee
Life Ki Toh Lag Gayi,2012,155 min,"Action, Comedy",5.3,255,Rakesh Mehta,Kay Kay Menon,Ranvir Shorey,Pradhuman Singh
Life of Pi,2012,127 min,"Adventure, Drama, Fantasy",7.9,"591,417",Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain
Life's Good,2012,100 min,"Drama, Family",5.9,7,Ananth Narayan Mahadevan,Saniya Anklesaria,Sunita Sen Gupta,Darshan Jariwala
Light from Himalaya,2012,77 min,Documentary,7.4,,Viktoria Rampal Dzurenko,,,
Login,2012,125 min,"Drama, Thriller",6.1,99,Sanjeev Reddy,Himanshu Bhatt,Raadhika Singh,Akkash Basnet
London Paris New York,2012,100 min,Romance,5.7,"3,677",Anu Menon,Ali Zafar,Aditi Rao Hydari,Candice Pereira
Love You to Death,2012,102 min,"Comedy, Thriller",5.3,7,Rafeeq Ellias,Sohrab Ardeshir,Abhro Banerjee,Kallol Banerjee
Lovebirds: Rebel Lovers in India,2012,52 min,"Documentary, Drama, Romance",6.7,,Gianpaolo Bigoli,,,
Luv Kushh and the Ghost Army Global,2012,57 min,Animation,7.5,,Rajiv Chilaka,,,
Luv Shuv Tey Chicken Khurana,2012,140 min,Comedy,6.6,"3,690",Sameer Sharma,Kunal Kapoor,Huma Qureshi,Vinod Nagpal
Luv U Soniyo,2012,144 min,"Comedy, Romance",5.5,67,Joe Rajan,Tanuj Virwani,Neha Hinge,Bunty Grewal
Maharana Pratap: The First Freedom Fighter,2012,145 min,"Action, War",5,108,Pradeep Kumawat,Narayan Singh Sisodia,Kuldeep Chaturvedi,Payal Kumawat
Maximum,2012,110 min,"Action, Crime, Drama",4.7,202,Kabeer Kaushik,Sonu Sood,Naseeruddin Shah,Neha Dhupia
Mere Dost Picture Abhi Baaki Hai,2012,180 min,Comedy,3.5,191,Rajnish Thakur,Sunil Shetty,Udita Goswami,Rajpal Yadav
Midnight's Children,2012,146 min,Drama,6.2,"3,031",Deepa Mehta,Rajat Kapoor,Vansh Bhardwaj,Anupam Kher
Miss Lovely,2012,113 min,"Crime, Drama, Romance",6.4,"3,068",Ashim Ahluwalia,Nawazuddin Siddiqui,Niharika Singh,Anil George
Monophobia,2012,63 min,Drama,6.2,,Ashwini Malik,Ashwini Malik,,
Mumbai's King,2012,77 min,Drama,6.4,153,Manjeet Singh,Rahul Bairagi,Dhanshree Jain,Arbaaz Khan
Myoho,2012,120 min,Drama,6.5,13,Ranjan Shandilya,Kanwaljit Singh,Yashpal Sharma,Malay Chakrabarty
Nirnay,2012,56 min,Documentary,4.0,,Pushpa Rawat,,,
Oass,2012,105 min,Drama,6.2,196,Abhinav Shiv Tiwari,Priyanka Bose,Jameel Khan,Yashpal Sharma
OMG: Oh My God!,2012,125 min,"Comedy, Drama, Fantasy",8.1,"53,454",Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty
One More...,2012,90 min,"Drama, Sport",6.8,13,Shivajee Chandrabhushan,Karan Sharma,David Ropmay,
Overtime,2012,114 min,Drama,4.8,25,Ajay Yadav,Frank M. Ahearn,Ramnita Chaudhry,Preeti Chauhan
Paan Singh Tomar,2012,135 min,"Action, Biography, Crime",8.2,"34,161",Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay
Pakauu,2012,120 min,Comedy,4.4,,Ziaullah Khan,Vishant Ahluwalia,Samrat Arya,Pawan Bhandari
Peddlers,2012,116 min,"Drama, Thriller",7,83,Vasan Bala,Gulshan Devaiah,Kriti Malhotra,Siddharth Menon
Players,2012,163 min,"Action, Crime, Thriller",4.1,"4,181",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Vinod Khanna,Abhishek Bachchan
Prem Mayee,2012,130 min,Drama,7.8,,Shekhar S. Jha,Auroshika Dey,Saini S. Johray,Yatin Karyekar
Qasam Se Qasam Se,2012,145 min,Romance,4,18,Ashfaq Makrani,Faith,Farhan,Satish Kaushik
Quartet 1,2012,104 min,Drama,3.7,,Buddhadev Dasgupta,Bobby Chakraborty,Pradip Roy,Jaya Seal
Raaz 3: The Third Dimension,2012,139 min,"Horror, Romance, Thriller",4,"3,528",Vikram Bhatt,Emraan Hashmi,Bipasha Basu,Esha Gupta
Rakhtbeej,2012,120 min,Thriller,3.1,15,Anil Ballani,Julia Datt,Tinnu Anand,Mansi Dovhal
Rasa Yatra,2012,50 min,"Documentary, History",7.6,50,Param Tomanec,,,
Riwayat,2012,122 min,"Crime, Drama, Family",4.6,9,Vijay Patkar,Salil Ankola,Samapika Debnath,Saurabh Dubey
Rowdy Rathore,2012,140 min,"Action, Comedy, Crime",5.7,"21,097",Prabhu Deva,Akshay Kumar,Sonakshi Sinha,Nassar
Rush,2012,110 min,"Crime, Thriller",3.7,837,Shamin Desai,Emraan Hashmi,Sagarika Ghatge,Neha Dhupia
Sadda Adda,2012,130 min,"Comedy, Drama, Romance",7.1,"1,345",Muazzam Beg,Karan Sharma,Karanvir Sharma,Shaurya Chauhan
Sadhu,2012,90 min,"Documentary, Adventure, Music",6.8,59,Gaël Métroz,Suraj Baba,,
Say Yes to Love,2012,115 min,Romance,5.5,14,Mahrukh Mirza,Nazia Hussain,Salim Khan,Kunal Shamshere Malla
Second Marriage Dot Com,2012,130 min,Drama,7.5,55,Gaurav Panjwani,Subhash Ahuja,Syna Anand,Raman Atre
Shahid,2012,129 min,"Biography, Drama",8.2,"15,659",Hansal Mehta,Rajkummar Rao,Prabhleen Sandhu,Mohd. Zeeshan Ayyub
Shanghai,2012,120 min,"Crime, Drama, Mystery",7.2,"9,804",Dibakar Banerjee,Emraan Hashmi,Abhay Deol,Prasenjit Chatterjee
Ship of Theseus,2012,139 min,Drama,8.1,"6,922",Anand Gandhi,Aydah El-Kashef,Yogesh Shah,Faraz Khan
Shirin Farhad Ki Toh Nikal Padi,2012,111 min,Romance,4.2,"1,023",Bela Segal,Freny Bhagat,Dinyar Contractor,Nauheed Cyrusi
Shobhna's Seven Nights,2012,105 min,"Drama, Romance",6.2,19,Sudipto Chattopadhyay,Lillete Dubey,Bharat Kaul,Anupam Kher
Siyaah..,2012,97 min,Horror,5.3,63,Aziz Naser,Habeeb Aidroos,Habib Al Aidroos,Zarine Ali
Son of Sardaar,2012,141 min,"Action, Comedy",4,"9,060",Ashwani Dhir,Anil Devgan,Ajay Devgn,Sanjay Dutt
Sons of Ram,2012,85 min,"Animation, Drama, Musical",6.7,77,Kushal Ruia,Sunidhi Chauhan,Ettienne Couthino,Devansh Doshi
Staying Alive,2012,89 min,Drama,5.6,29,Ananth Narayan Mahadevan,Jahangir Khan,Ananth Narayan Mahadevan,Navni Parihar
Student of the Year,2012,146 min,"Comedy, Drama, Music",5.3,"16,038",Karan Johar,Sidharth Malhotra,Alia Bhatt,Varun Dhawan
Swami Ayyappan,2012,90 min,"Animation, Action, Adventure",7.6,37,Chetan Sharma,Mahesh Vettiyar,,
Talaash,2012,140 min,"Crime, Drama, Mystery",7.2,"40,234",Reema Kagti,Priyamvada Narayanan,Aamir Khan,Kareena Kapoor
Tere Naal Love Ho Gaya,2012,130 min,"Comedy, Drama, Romance",5.8,"4,120",Mandeep Kumar,Riteish Deshmukh,Genelia D'Souza,Om Puri
Teri Meri Kahaani,2012,117 min,"Comedy, Drama, Romance",4.7,"3,873",Kunal Kohli,Shahid Kapoor,Priyanka Chopra Jonas,Prachi Desai
Tezz,2012,121 min,"Action, Crime, Drama",3.9,"2,254",Priyadarshan,Anil Kapoor,Ajay Devgn,Mohanlal
The Artist Within,2012,101 min,"Drama, Thriller",1.6,,Sunil Prem Vyas,Mamta Bhatia,Sunil Prem Vyas,
The International Problem,2012,120 min,"Crime, Drama",10.0,,Jagdish Waghela,Dhruv Kumar,Khalid Kidwai,Lata Tippee
The Rat Race,2012,52 min,"Documentary, Drama",6.4,52,Miriam Chandy Menacherry,,,
The Rise of Kirmada,2012,68 min,Animation,5.2,14,Rajiv Chilaka,,,
The Saroj Khan Story,2012,52 min,Documentary,1.1,,Nidhi Tuli,,,
The Women in Blue Berets,2012,48 min,Documentary,7.2,,Farida Pacha,,,
Tutiya Dil,2012,127 min,Romance,5,34,Amit Khanna,Sidhant Kapur,Iris Maity,Suzanna Mukherjee
Vicky Donor,2012,126 min,"Comedy, Romance",7.8,"40,589",Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor
Vyakaran,2012,100 min,Drama,4.5,,Villas Bambroo,Ashish Verma,,
Welcome to London,2012,109 min,"Drama, Romance, Thriller",5.2,133,Asad Shan,Asad Shan,Sabeeka Imam,Metin Ahmet
Will You Marry Me,2012,135 min,Comedy,4.5,113,Aditya Datt,Shreyas Talpade,Rajeev Khandelwal,Mugdha Godse
Yakshi Faithfully Yours,2012,90 min,"Horror, Romance, Sci-Fi",3.3,29,Abhiram,Ambika,Mohan Avanthika,Devan
Yeh Jo Mohabbat Hai,2012,147 min,Drama,5.2,76,Shree Narayan Singh,Rati Agnihotri,Mohnish Bahl,Nazia Hussain
Zindagi Tere Naam,2012,120 min,Romance,4.4,33,Ashu Trikha,Mithun Chakraborty,Ranjeeta Kaur,Priyanka Mehta
404: Error Not Found,2011,121 min,"Drama, Mystery, Thriller",7.3,"2,548",Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
4pm on the Court,2011,115 min,Sport,2.9,,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma
5ters: Castle of Dark Master,2011,110 min,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,Akash,Avinash,Gagan
69 Opposites Attract,2011,96 min,Comedy,9.1,,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,
7 Khoon Maaf,2011,137 min,"Drama, Mystery, Thriller",6.1,"5,640",Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
9 to 12,2011,115 min,"Drama, Musical, Thriller",1.9,,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.
Aarakshan,2011,164 min,"Drama, Thriller",6.2,"5,170",Prakash Jha,Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee
Aashiqui.In,2011,109 min,"Drama, Romance",3.7,61,Shankhadeep,Shubhi Ahuja,Amit Dhamija,Preeti Gandwani
Aazaan,2011,125 min,"Action, Musical, Thriller",4.4,346,Prashant Chadha,Sachiin Joshi,Candice Boucher,Arya Babbar
Adwait Sangeet,2011,82 min,"Documentary, Biography, Musical",7.9,13,Makarand Brahme,,,
Always Kabhi Kabhi,2011,126 min,"Comedy, Crime, Drama",4,"1,295",Roshan Abbas,Lillete Dubey,Satyajeet Dubey,Ali Fazal
Angel,2011,114 min,"Action, Drama",6.3,84,Ganesh Acharya,Sumit Arora,Arun,Raakesh Babu
Ashoka the Hero,2011,70 min,Animation,6.6,10,Gaurav Jain,,,
Be-Careful,2011,93 min,"Comedy, Crime, Drama",3.1,88,Chandrakant Singh,Asrani,Ali Khan,Bobby Khan
Bheja Fry 2,2011,129 min,"Comedy, Drama",4.7,"1,302",Sagar Ballary,Vinay Pathak,Kay Kay Menon,Minissha Lamba
Bhindi Baazaar,2011,157 min,"Crime, Drama, Thriller",6.1,673,Ankush Bhatt,Kay Kay Menon,Prashant Narayanan,Pawan Malhotra
Bhopali,2011,89 min,"Documentary, History, News",8,58,Van Maximilian Carlson,Saiba Babu,Salam Babu,Rashida Bee
Bhuddah Hoga Tera Baap,2011,114 min,"Action, Comedy, Crime",5.6,"2,782",Puri Jagannadh,Amitabh Bachchan,Hema Malini,Sonu Sood
Bin Bulaye Baraati,2011,133 min,"Action, Comedy, Crime",3.8,255,Chandrakant Singh,Naushaad Abbas,Rati Agnihotri,Shweta Bhardwaj
Bodyguard,2011,130 min,"Action, Comedy, Drama",4.7,"23,602",Siddique,Salman Khan,Kareena Kapoor,Raj Babbar
Bollywood: The Greatest Love Story Ever Told,2011,81 min,Documentary,6.1,115,Rakeysh Omprakash Mehra,Jeff Zimbalist,Amitabh Bachchan,Aishwarya Rai Bachchan
Bom,2011,117 min,"Documentary, History",8.2,70,Amlan Datta,,,
Breakaway,2011,101 min,"Comedy, Drama, Sport",5.7,"2,237",Robert Lieberman,Vinay Virmani,Camilla Belle,Russell Peters
Bubble Gum,2011,116 min,Drama,7.3,456,Sanjivan Lal,Apoorva Arora,Tanvi Azmi,Delzad Hiwale
Cartography of Loneliness,2011,69 min,"Documentary, Biography",6.2,5,Nocem Collado,,,
Chala Mussaddi - Office Office,2011,60 min,"Comedy, Drama",6.1,346,Rajiv Mehra,Deven Bhojani,Makrand Deshpande,Vinay Jain
Chalo Dilli,2011,155 min,"Comedy, Drama",6.8,"3,081",Shashant Shah,Vinay Pathak,Lara Dutta,Yana Gupta
Chatur Singh Two Star,2011,150 min,"Action, Adventure, Comedy",1.7,624,Ajay Chandhok,Sanjay Dutt,Ameesha Patel,Anupam Kher
Children's Party,2011,135 min,"Comedy, Drama, Family",7.5,"7,296",Vikas Bahl,Nitesh Tiwari,Irfan Khan,Sanath Menon
Chitkabrey,2011,120 min,"Drama, Mystery, Thriller",3.9,134,Suneet Arora,Ravi Kishan,Rahul Singh,Sanjay Swaraj
College Campus,2011,121 min,Drama,5.2,,Atul Srivastava,Ramnita Chaudhry,Mohan Joshi,Ashraf Khan
Crazy Mad Lover,2011,163 min,"Action, Comedy, Drama",5.6,"4,059",Samir Karnik,Nafisa Ali,Yugesh Anil,Madhuri Bhattacharya
Cutting Chai,2011,107 min,Comedy,3.3,,Flavin Luicien,Sabrina Schaumburg,,
Cycle Kick,2011,86 min,"Drama, Sport",6.1,100,Shashi Sudigala,Nishan Nanaiah,Sunny Hinduja,Girija Oak
Dam999,2011,108 min,"Adventure, Drama, Sci-Fi",3.3,980,Sohan Roy,Vinay Rai,Joshua Fredric Smith,Megha Burman
Damadamm!,2011,122 min,"Comedy, Drama, Romance",4,406,Swapna Joshi,Himesh Reshammiya,Sonal Sehgal,Purbi Joshi
Delhi Belly,2011,103 min,"Action, Comedy, Crime",7.6,"28,299",Abhinay Deo,Akshat Verma,Imran Khan,Vir Das
Delhi in a Day,2011,88 min,"Comedy, Drama",6.2,395,Prashant Nair,Victor Banerjee,Siddharth Bhardwaj,Vidya Bhushan
Desi Boyz,2011,122 min,"Comedy, Drama",5.7,"13,203",Rohit Dhawan,Akshay Kumar,John Abraham,Deepika Padukone
Dharti,2011,126 min,"Crime, Drama, Thriller",7,357,Navaniat Singh,Jimmy Sheirgill,Surveen Chawla,Japji Khaira
Dil Toh Baccha Hai Ji,2011,143 min,"Comedy, Drama, Romance",5.8,"3,723",Madhur Bhandarkar,Ajay Devgn,Emraan Hashmi,Omi Vaidya
Don 2,2011,148 min,"Action, Crime, Thriller",7.1,"50,435",Farhan Akhtar,Shah Rukh Khan,Florian Lukas,Om Puri
Double Dhamaal,2011,138 min,"Comedy, Crime, Drama",3.8,"3,642",Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi
Drying for Freedom,2011,60 min,"Documentary, Comedy, Drama",7.3,22,Steven Lake,Alex Lee,,
Dum Maaro Dum,2011,128 min,"Action, Crime, Drama",6.2,"3,860",Rohan Sippy,Abhishek Bachchan,Deepika Padukone,Bipasha Basu
Eer: Stories in Stone,2011,52 min,Documentary,6.2,,Sriprakash,,,
F.A.L.T.U,2011,120 min,"Comedy, Drama",4.6,"2,963",Remo D'Souza,Arshad Warsi,Riteish Deshmukh,Jackky Bhagnani
Flames of the Snow,2011,125 min,Documentary,8.7,,Ashish Srivastav,,,
Force,2011,137 min,"Action, Crime, Drama",6.5,"7,301",Nishikant Kamat,John Abraham,Genelia D'Souza,Vidyut Jammwal
Galti Se Mistakke Ho Gayi,2011,102 min,"Comedy, Family",10.0,,Sunil Prem Vyas,Kashish Dutt,Manish Garg,Ankur Khanna
Game,2011,135 min,"Action, Crime, Drama",5.2,"2,175",Abhinay Deo,Abhishek Bachchan,Kangana Ranaut,Anupam Kher
Gandhi to Hitler,2011,108 min,"Drama, History, War",2.5,207,Rakesh Ranjan Kumar,Avijit Dutt,Raghuvir Yadav,Neha Dhupia
Gattu,2011,90 min,Drama,7.3,398,Rajan Khosa,Naresh Sharma,Mohammad Samad,Jayanta Das
Haat - The Weekly Bazaar,2011,102 min,Drama,5.7,14,Seema Kapoor,Divya Dutta,Mukesh Tiwari,Archana Puran Singh
Hair is Falling: A Serious Comedy Film,2011,120 min,"Comedy, Drama",5.3,31,Vicky Bhardwaj,Rajesh Bhardwaj,Sanjana Tiwari,Priyanka
Half a Billion Dreams,2011,61 min,Documentary,2.1,,Nikhil Mahajan,,,
Happy Husbands,2011,134 min,"Comedy, Drama",3.2,22,Jaiveer,Anay,Kurush Deboo,Mohit Ghai
Haunted - 3D,2011,143 min,"Action, Fantasy, Horror",6.3,"2,165",Vikram Bhatt,Mimoh Chakraborty,Tia Bajpai,Achint Kaur
Havai Dada,2011,101 min,Drama,2.8,,Ajay Karthik,Tanuja Chandra,Anupam Kher,Tanuja Mukherjee
Hostel,2011,111 min,"Action, Crime, Drama",5.2,579,Manish Gupta,Vatsal Sheth,Tulip Joshi,Mukesh Tiwari
Hum Do Bhagode,2011,158 min,Comedy,9.6,,Rajeev Jaitly,Manoj Bakshi,Kavita Joshi,Pratap Kumar
Hum Tum Shabana,2011,126 min,"Comedy, Crime, Drama",3.6,291,Sagar Ballary,Tusshar Kapoor,Shreyas Talpade,Minissha Lamba
I Was Born in Delhi,2011,93 min,Drama,3.7,7,Bishnu Dev Halder,,,
InkLab,2011,62 min,"Adventure, Thriller",8.7,,Gaurav Chhabra,Mandeep Sodhi,,
Jai Bhim Comrade,2011,199 min,Documentary,8.7,141,Anand Patwardhan,,,
Jo Dooba So Paar: It's Love in Bihar!,2011,90 min,"Comedy, Crime, Drama",5.7,71,Praveen Kumar,Anand Tiwari,Rajat Kapoor,Sita Spada
Kaccha Limboo,2011,141 min,"Comedy, Family",6.4,88,Sagar Ballary,Muntazir Ahmad,Karan Bhanushali,Bhairavi Goswami
Khap,2011,125 min,"Drama, Thriller",5,104,Ajai Sinha,Rahul Jaiswal,Raj Arjun,Mohnish Bahl
Koel,2011,95 min,"Drama, Family",4.0,,Bonny Mukherjee,Aadya Bedi,Rashi Bunny,Tarun Chauhan
Kshay,2011,92 min,Drama,6.7,302,Karan Gour,Rasika Dugal,Alekh Sangal,Sudhir Pednekar
Kucch Luv Jaisaa,2011,105 min,Drama,4.3,126,Shukla Barnali Ray,Shefali Shah,Om Puri,Rahul Bose
Kya Yahi Sach Hai,2011,142 min,"Crime, Drama, Thriller",6.1,22,Y.P. Singh,Gurpreet Kaur Chadha,Shalini Chandran,T.K. Chowdhary
Laadli Laila,2011,87 min,Comedy,5.8,56,Murali Nair,Raghuvir Yadav,Sheila Naidu,Saurab Gharipurikar
Ladies vs. Ricky Bahl,2011,140 min,"Comedy, Crime, Drama",6,"9,109",Maneesh Sharma,Ranveer Singh,Anushka Sharma,Parineeti Chopra
Lanka,2011,107 min,"Action, Crime, Drama",5.8,205,Maqbool Khan,Manoj Bajpayee,Arjan Bajwa,Tia Bajpai
Loot,2011,110 min,"Action, Comedy, Crime",3.3,303,Rajnish Thakur,Shweta Bhardwaj,Mimoh Chakraborty,Prem Chopra
Love Breakups Zindagi,2011,156 min,"Comedy, Drama, Romance",5.8,"1,006",Sahil Sangha,Zayed Khan,Dia Mirza,Cyrus Sahukar
Love Express,2011,141 min,"Comedy, Drama",5.3,117,Sunny Bhambhani,Sahil Mehta,Mannat Ravi,Vikas Katyal
Love U... Mr. Kalakaar!,2011,152 min,"Drama, Romance",5.3,426,S. Manasvi,Tusshar Kapoor,Amrita Rao,Ram Kapoor
Luv Ka the End,2011,106 min,"Comedy, Drama",4.8,"1,434",Bumpy,Shraddha Kapoor,Taha Shah Badussha,Errol Peter Marks
Maanas,2011,52 min,Drama,4.2,,Dave Jigar,Karm Vyas,Aditya Patel,
Main Hoon Akela,2011,129 min,Action,4.3,,A. Venkatesh,Arjun Sarja,Haripriya,Ashish Vidyarthi
Masti Express,2011,103 min,"Adventure, Comedy, Drama",5.1,91,Vikram Pradhan,Rajpal Yadav,Johnny Lever,Divya Dutta
Mausam,2011,161 min,"Drama, Romance, War",4.7,"5,258",Pankaj Kapur,Shahid Kapoor,Sonam Kapoor,Anupam Kher
Mere Brother Ki Dulhan,2011,139 min,"Comedy, Drama, Family",5.8,"8,946",Ali Abbas Zafar,Imran Khan,Katrina Kaif,Ali Zafar
Michael,2011,97 min,"Drama, Thriller",5.3,149,Ribhu Dasgupta,Naseeruddin Shah,Mahie Gill,Sabyasachi Chakrabarty
Miley - Naa Miley - Hum,2011,114 min,"Comedy, Drama, Romance",2.5,225,Tanveer Khan,Chirag Paswan,Kangana Ranaut,Neeru Bajwa
Milta Hai Chance by Chance,2011,87 min,Comedy,6.2,9,Ramesh Modi,Muntazir Ahmad,Diveyaa Dwivedi,Divyaa Dwivedi
Mod,2011,100 min,"Drama, Romance, Thriller",6.5,399,Nagesh Kukunoor,Ayesha Takia,Rannvijay Singh,Raghuvir Yadav
Monica,2011,124 min,"Biography, Drama, Thriller",5.5,72,Sushen Bhatnagar,Ashutosh Rana,Divya Dutta,Rajit Kapoor
Mujhse Fraaandship Karoge,2011,106 min,"Comedy, Drama, Romance",6.9,"3,861",Nupur Asthana,Saqib Saleem,Saba Azad,Nishant Dahiya
Mumbhai Connection,2011,90 min,"Comedy, Crime, Thriller",5.2,24,Atlanta Nagendra,Alieesa P Badresia,Rafiq Batcha,Chrissy Chambers
Mummy Punjabi: Superman Ki Bhi Maa!!,2011,121 min,"Comedy, Drama",4.9,40,Pammi Somal,Kirron Kher,Kanwaljit Singh,Jackie Shroff
Murder 2,2011,127 min,"Action, Crime, Drama",6.2,"6,662",Mohit Suri,Emraan Hashmi,Jacqueline Fernandez,Prashant Narayanan
My Friend Pinto,2011,100 min,"Comedy, Crime, Drama",5.3,348,Raaghav Dar,Prateik,Kalki Koechlin,Arjun Mathur
My Own City,2011,67 min,Documentary,3.8,,Sameera Jain,,,
Na Jaane Kabse,2011,132 min,Romance,5.4,9,Pammi Somal,Lillete Dubey,Gurpreet Ghuggi,Gary Gill
Naughty @ 40,2011,108 min,"Comedy, Drama",2.5,290,Jag Mundhra,Govinda,Yuvika Chaudhary,Anupam Kher
Nirvana13,2011,95 min,Drama,9.1,99,Jitin Rawat,P.P. Bajaj,Anu Choudhury,Sandeep Kulkarni
No One Killed Jessica,2011,136 min,"Biography, Crime, Drama",7.2,"11,199",Raj Kumar Gupta,Rani Mukerji,Vidya Balan,Myra Karn
Not a Love Story,2011,100 min,"Crime, Drama, Thriller",5,694,Ram Gopal Varma,Deepak Dobriyal,Mahie Gill,Zakir Hussain
Noukadubi,2011,135 min,"Drama, Romance",7.6,845,Rituparno Ghosh,Jisshu Sengupta,Riya Sen,Raima Sen
On the other side,2011,75 min,Thriller,3.5,,Abhinav Kamal,Vaishali Bathla,Gravit Bharadwaj,
Papa Tum Kaha Ho,2011,108 min,Family,2.4,,Sanjeev Nanda,Varsha Chandra,Harsh Fodekar,Yugraj Jain
Patang,2011,93 min,Drama,6.2,306,Prashant Bhargava,Nawazuddin Siddiqui,Mukkund Shukla,Seema Biswas
Patiala House,2011,140 min,"Drama, Sport",5.6,"8,780",Nikkhil Advani,Rishi Kapoor,Dimple Kapadia,Akshay Kumar
Phhir,2011,100 min,"Drama, Mystery, Romance",5,186,Girish Dhamija,Rajniesh Duggall,Roshni Chopra,Monica
Prince Vaali,2011,175 min,"Action, Adventure, Fantasy",5.8,11,Shiva Thejus,Daiana Menezes,,
Pyaar Ka Punchnama,2011,149 min,"Comedy, Drama, Romance",7.6,"20,388",Luv Ranjan,Kartik Aaryan,Raayo S. Bakhirta,Divyendu Sharma
Queens! Destiny of Dance,2011,112 min,"Drama, Musical",5.4,10,David Atkins,Seema Biswas,Vineeth,
Ra.One,2011,156 min,"Action, Adventure, Sci-Fi",4.7,"39,039",Anubhav Sinha,Shah Rukh Khan,Arjun Rampal,Kareena Kapoor
Ragini MMS,2011,93 min,"Drama, Horror, Mystery",4.9,"2,489",Pawan Kripalani,Kainaz Motivala,Rajkummar Rao,Rajat Kaul
Rascals,2011,128 min,"Action, Comedy, Crime",2.9,"2,682",David Dhawan,Ajay Devgn,Sanjay Dutt,Kangana Ranaut
Ready,2011,145 min,"Action, Comedy, Romance",4.8,"16,937",Anees Bazmee,Salman Khan,Asin Thottumkal,Paresh Rawal
Rockstar,2011,159 min,"Drama, Music, Romance",7.7,"40,835",Imtiaz Ali,Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor
Saheb Biwi Aur Gangster,2011,118 min,"Action, Crime, Drama",7.2,"4,028",Tigmanshu Dhulia,Jimmy Sheirgill,Mahie Gill,Randeep Hooda
Sahi Dhandhe Galat Bande,2011,119 min,"Action, Comedy, Drama",4.8,263,Parvin Dabas,Anupam Kher,Sharat Saxena,Udit Khurana
Sankalp,2011,69 min,Drama,6.4,,Nitin Tiwari,Ehsan Khan,Ridheema Tiwari,Pranjali
Satrangee Parachute,2011,115 min,"Comedy, Drama, Family",5.3,66,Vineet Khetrapal,Sanjay Mishra,Zakir Hussain,Lilliput
Shabri,2011,98 min,"Action, Crime, Drama",5.6,136,Lalit Marathe,Isha Koppikar,Raj Arjun,Manish Wadhwa
Shagird,2011,143 min,"Action, Crime, Drama",7.1,"1,946",Tigmanshu Dhulia,Nana Patekar,Mohit Ahlawat,Rimi Sen
Shaitan,2011,121 min,"Action, Crime, Drama",7.2,"8,146",Bejoy Nambiar,Kalki Koechlin,Shiv Panditt,Gulshan Devaiah
Shakal Pe Mat Ja,2011,140 min,"Comedy, Crime, Drama",4.9,39,Shubh Mukherjee,Shubh Mukherjee,Pratik Katare,Harsh Parekh
Sheetalbhabi.com,2011,115 min,Comedy,3.9,34,C.M. Jain,Jatin Grewal,Hina Tasleem,Monalisa
SHUDRA: The Untouchables,2011,116 min,"Drama, Family, History",7.8,23,Sanjiv Jaiswal,Sridhar Dubey,,
Shuttlecock Boys,2011,76 min,"Comedy, Drama",6.2,111,Hemant Gaba,Aakar Kaushik,Manish Nawani,Alok Kumar
Sonchidi,2011,55 min,"Drama, Mystery, Sci-Fi",6.3,82,Amit Dutta,Nitin Goel,Gagan Singh Sethi,
Soundtrack,2011,132 min,"Drama, Musical",7.1,826,Neerav Ghosh,Rajeev Khandelwal,Soha Ali Khan,Mrinalini Sharma
Stanley Ka Dabba,2011,96 min,"Comedy, Drama, Family",7.8,"6,493",Amole Gupte,Partho A. Gupte,Numaan Sheikh,Abhishek Reddy
